Date,T_degC
0/0/8,0.000
30/4/2010,7.600
13/4/2007,7.750
28/8/2008,7.830
10/4/2006,7.840
8/7/2007,7.840
25/4/2007,7.910
9/7/2007,7.930
16/7/2006,7.950
30/1/2010,7.960
6/11/2009,8.010
18/3/2009,8.040
7/8/2010,8.050
7/7/2013,8.130
24/4/2007,8.160
17/4/2006,8.160
30/1/2002,8.190
27/10/2000,8.190
15/7/2006,8.230
1/11/2006,8.240
9/4/2006,8.260
9/1/2009,8.290
11/7/2007,8.310
10/7/2002,8.320
21/11/2002,8.320
19/4/2000,8.340
22/10/2008,8.370
29/8/2008,8.390
1/5/2010,8.400
3/7/2002,8.400
9/4/2006,8.420
29/4/2007,8.420
16/4/2006,8.430
29/6/2007,8.440
3/11/2001,8.450
13/1/2010,8.480
1/2/2010,8.480
30/1/2014,8.490
12/3/2009,8.500
18/7/2006,8.500
23/4/2011,8.510
17/7/2002,8.520
13/4/2000,8.530
15/10/2000,8.530
12/7/2000,8.570
7/4/2008,8.580
24/8/2008,8.580
15/3/2009,8.580
29/1/2002,8.610
13/1/2009,8.610
29/3/2008,8.620
18/1/2011,8.630
3/8/2011,8.630
3/8/2009,8.650
15/4/2006,8.680
8/1/2009,8.690
10/7/2007,8.690
28/4/2007,8.700
25/7/2009,8.700
7/4/2000,8.710
18/4/2000,8.710
2/5/2010,8.730
10/11/2009,8.740
31/10/2006,8.740
12/7/2007,8.750
8/1/2017,8.750
15/1/2007,8.760
15/11/2013,8.770
8/4/2006,8.770
15/4/2003,8.790
20/1/2013,8.800
6/8/2010,8.800
10/1/2008,8.830
21/4/2013,8.830
8/4/2001,8.830
21/7/2016,8.840
21/10/2008,8.840
16/10/2008,8.850
12/4/2000,8.860
16/1/2009,8.860
21/1/2008,8.870
2/7/2002,8.870
1/7/2000,8.870
12/4/2013,8.870
27/7/2009,8.870
24/7/2001,8.880
29/10/2015,8.880
19/3/2009,8.880
18/10/2011,8.890
12/4/2002,8.890
14/4/2011,8.900
14/1/2007,8.910
16/10/2011,8.910
15/4/2011,8.910
7/7/2000,8.920
13/7/2007,8.920
25/4/2011,8.920
19/7/2006,8.930
4/4/2006,8.930
4/5/2010,8.940
30/3/2008,8.950
19/1/2011,8.960
7/4/2013,8.970
2/11/2001,8.970
3/4/2007,8.980
28/10/2012,8.990
17/10/2011,9.000
10/7/2016,9.000
1/11/2001,9.020
1/11/2011,9.040
9/11/2010,9.050
3/4/2008,9.050
16/7/2002,9.070
15/1/2008,9.080
14/10/2000,9.080
21/1/2013,9.080
10/11/2007,9.090
19/1/2009,9.090
23/1/2000,9.100
3/4/2006,9.110
20/1/2001,9.110
2/4/2006,9.120
20/10/2011,9.120
10/8/2010,9.120
9/1/2001,9.130
20/4/2013,9.130
13/1/2007,9.130
13/4/2013,9.140
27/10/2012,9.150
23/7/2009,9.160
9/1/2008,9.160
20/11/2002,9.160
16/1/2010,9.160
23/11/2009,9.160
11/8/2010,9.160
17/1/2010,9.170
26/4/2011,9.170
16/4/2011,9.180
17/7/2012,9.200
10/7/2002,9.200
26/10/2000,9.210
28/1/2002,9.210
27/10/2008,9.210
28/6/2007,9.210
28/3/2007,9.220
14/11/2009,9.220
18/1/2017,9.230
29/3/2007,9.240
30/7/2011,9.250
6/7/2013,9.250
30/1/2007,9.260
13/4/2016,9.260
6/2/2003,9.260
22/1/2008,9.270
2/4/2007,9.270
21/11/2017,9.280
4/4/2008,9.280
25/8/2008,9.290
15/3/2009,9.290
31/10/2001,9.300
31/10/2015,9.300
23/1/2013,9.300
15/10/2008,9.310
16/1/2007,9.330
18/1/2010,9.330
23/7/2001,9.330
14/4/2003,9.340
21/10/2011,9.350
22/1/2011,9.350
15/1/2011,9.350
12/4/2002,9.350
30/6/2000,9.350
19/1/2010,9.350
8/4/2006,9.360
11/11/2019,9.370
