Date,PO4uM
9/2/2018,0
5/2/2018,0
4/2/2018,0
12/11/2017,2
2/2/2018,2
3/2/2018,2
24/1/2015,4
20/11/2017,4
10/2/2018,4
8/2/2018,5
13/11/2017,7
16/11/2017,8
19/11/2017,9
18/11/2017,9
22/11/2017,9
1/2/2018,10
25/1/2015,11
9/11/2017,11
11/11/2017,11
21/4/2018,11
22/4/2018,11
17/11/2017,12
13/7/2016,13
14/8/2017,13
7/8/2017,13
8/8/2017,13
9/8/2017,13
10/6/2018,13
14/4/2019,13
8/4/2019,13
13/4/2019,13
10/4/2019,13
25/7/2019,13
8/11/2019,13
7/11/2019,13
1/4/2008,14
20/10/2012,14
19/10/2012,14
13/8/2017,14
10/8/2017,14
17/1/2015,15
18/1/2015,15
11/7/2015,15
12/7/2016,15
10/11/2016,15
15/1/2017,15
14/1/2017,15
1/4/2017,15
11/4/2018,15
12/6/2018,15
2/4/2019,15
3/4/2019,15
12/1/2000,16
3/2/2012,16
2/4/2012,16
24/10/2012,16
23/10/2012,16
11/11/2016,16
12/1/2017,16
6/8/2017,16
11/4/2018,16
12/11/2019,16
9/11/2019,16
29/1/2008,17
21/8/2008,17
22/8/2008,17
22/7/2015,17
8/7/2015,17
9/7/2015,17
3/11/2015,17
15/1/2016,17
13/1/2016,17
21/11/2016,17
13/11/2016,17
14/11/2016,17
12/11/2016,17
17/1/2017,17
16/1/2017,17
13/1/2017,17
11/1/2017,17
31/3/2017,17
5/8/2017,17
18/4/2018,17
17/4/2018,17
10/4/2018,17
10/4/2018,17
21/6/2018,17
20/6/2018,17
24/6/2018,17
19/6/2018,17
9/6/2018,17
11/4/2019,17
3/4/2019,17
4/4/2019,17
4/4/2019,17
5/11/2019,17
11/1/2000,18
9/1/2000,19
10/1/2000,19
24/1/2008,19
22/1/2015,19
12/7/2015,19
4/8/2017,19
15/11/2017,19
12/2/2006,20
30/1/2012,20
4/4/2014,20
19/4/2015,20
10/11/2015,20
12/1/2016,20
12/8/2017,20
16/8/2017,20
10/11/2017,20
20/4/2018,20
9/4/2018,20
8/4/2018,20
18/6/2018,20
15/6/2018,20
14/6/2018,20
14/6/2018,20
26/10/2018,20
25/10/2018,20
12/7/2019,20
11/7/2019,20
13/7/2019,20
2/7/2000,21
8/7/2000,21
18/4/2015,21
12/11/2015,21
19/4/2018,21
16/4/2018,21
8/4/2018,21
19/1/2008,22
14/1/2008,22
6/4/2008,22
8/4/2008,22
16/8/2008,22
17/8/2008,22
30/10/2008,22
17/10/2008,22
17/1/2009,22
11/1/2009,22
26/7/2009,22
19/7/2009,22
2/2/2015,22
12/4/2015,22
10/4/2015,22
9/4/2015,22
8/4/2015,22
11/1/2016,22
16/4/2018,22
15/4/2018,22
12/4/2018,22
8/4/2018,22
11/6/2018,22
21/10/2012,23
18/1/2013,23
19/1/2013,23
17/1/2013,23
16/1/2013,23
31/1/2014,23
16/4/2014,23
15/4/2014,23
13/4/2014,23
20/7/2014,23
17/4/2015,23
21/1/2016,23
8/4/2019,23
13/1/2000,24
10/7/2001,24
12/7/2015,24
8/11/2015,24
30/10/2015,24
24/1/2016,24
23/1/2016,24
22/1/2016,24
7/1/2016,24
4/4/2016,24
3/4/2016,24
26/7/2016,24
20/7/2016,24
20/11/2016,24
18/4/2017,24
15/4/2017,24
17/4/2017,24
16/4/2017,24
13/4/2017,24
9/4/2017,24
10/2/2019,24
23/7/2019,24
14/7/2019,24
23/1/2008,25
25/10/2008,25
19/10/2008,25
23/1/2009,25
28/7/2009,25
26/7/2009,25
22/7/2009,25
23/7/2009,25
20/7/2009,25
20/7/2009,25
2/11/2012,25
31/10/2012,25
30/10/2012,25
29/10/2012,25
2/4/2016,25
13/4/2018,25
29/10/2018,25
11/2/2019,25
9/2/2019,25
24/7/2019,25
18/7/2014,26
20/1/2016,26
19/1/2016,26
5/4/2016,26
1/4/2016,26
20/4/2017,26
19/4/2017,26
14/4/2018,26
24/10/2018,26
12/2/2019,26
16/10/2000,27
21/10/2000,27
23/10/2000,27
13/1/2001,27
16/1/2001,27
21/1/2001,27
22/1/2001,27
12/4/2001,27
5/8/2011,27
4/4/2015,27
7/11/2016,27
19/1/2000,28
20/1/2000,28
8/4/2000,28
9/4/2000,28
11/1/2001,28
12/1/2001,28
12/4/2001,28
5/2/2006,28
6/2/2006,28
10/7/2006,28
8/7/2007,28
7/7/2007,28
15/11/2007,28
8/11/2007,28
7/11/2007,28
6/11/2007,28
4/11/2007,28
27/8/2008,28
24/10/2008,28
22/1/2009,28
16/3/2009,28
17/3/2009,28
8/3/2009,28
2/8/2009,28
31/7/2009,28
1/8/2009,28
30/7/2009,28
15/7/2009,28
18/11/2009,28
19/11/2009,28
15/11/2009,28
8/11/2009,28
4/8/2011,28
28/10/2011,28
5/11/2012,28
14/4/2014,28
1/2/2015,28
10/4/2016,28
25/7/2016,28
17/7/2016,28
6/11/2016,28
11/4/2017,28
8/4/2017,28
23/10/2018,28
4/11/2019,28
14/1/2000,30
4/2/2006,30
4/2/2006,30
17/7/2006,30
14/7/2006,30
13/7/2006,30
12/7/2006,30
8/7/2006,30
9/7/2006,30
24/10/2006,30
14/4/2007,30
30/6/2007,30
1/7/2007,30
18/11/2007,30
17/11/2007,30
11/11/2007,30
9/11/2007,30
13/1/2008,30
26/8/2008,30
18/1/2009,30
22/3/2009,30
21/3/2009,30
11/3/2009,30
9/3/2009,30
24/7/2009,30
21/7/2009,30
17/7/2009,30
18/7/2016,30
16/6/2018,30
5/7/2007,31
30/10/2011,31
11/11/2015,31
19/7/2016,31
16/10/2018,31
17/10/2018,31
26/7/2019,31
18/11/2019,31
14/4/2000,32
9/7/2000,32
10/7/2000,32
12/10/2000,32
17/10/2000,32
18/10/2000,32
24/10/2000,32
17/1/2001,32
18/1/2001,32
10/4/2001,32
13/4/2001,32
17/4/2001,32
18/4/2001,32
11/7/2001,32
3/11/2007,32
28/3/2012,32
25/3/2012,32
14/7/2012,32
17/4/2014,32
9/4/2014,32
14/4/2017,32
7/4/2017,32
21/10/2018,32
18/4/2005,33
11/7/2006,33
6/7/2007,33
5/11/2007,33
10/1/2009,33
16/3/2009,33
17/3/2009,33
18/7/2009,33
17/11/2009,33
12/11/2009,33
15/1/2013,33
10/7/2014,33
11/11/2014,33
14/4/2016,33
16/4/2016,33
11/4/2016,33
7/4/2016,33
13/8/2017,33
19/4/2018,33
13/6/2018,33
17/1/2011,34
15/7/2012,34
10/4/2014,34
8/4/2014,34
8/4/2016,34
15/8/2017,34
20/4/2018,34
3/7/2000,35
4/7/2000,35
13/7/2000,35
10/1/2001,35
23/1/2001,35
6/4/2001,35
9/4/2001,35
11/4/2001,35
16/4/2001,35
19/4/2001,35
11/1/2005,35
12/1/2005,35
4/7/2007,35
2/8/2011,35
7/4/2014,35
7/11/2015,35
15/4/2016,35
12/4/2016,35
13/6/2018,35
11/6/2018,35
15/4/2007,36
26/3/2008,36
12/1/2009,36
18/3/2009,36
17/3/2009,36
14/3/2009,36
17/1/2011,36
18/1/2016,36
23/4/2001,37
13/7/2005,37
12/7/2005,37
26/1/2008,37
19/11/2014,37
18/11/2014,37
23/7/2015,37
6/2/2018,37
10/1/2005,38
16/11/2007,38
28/1/2011,38
27/1/2011,38
27/10/2011,38
4/2/2012,38
23/10/2006,39
4/11/2006,39
5/11/2006,39
11/4/2007,39
16/7/2009,39
7/11/2009,39
9/7/2014,39
28/10/2018,39
21/7/2019,39
15/1/2000,40
21/1/2000,40
7/1/2001,40
22/4/2001,40
4/7/2002,40
1/11/2003,40
7/11/2004,40
17/2/2006,40
13/2/2006,40
27/1/2011,40
3/4/2012,40
15/4/2013,40
8/7/2013,40
9/7/2013,40
23/11/2013,40
22/11/2013,40
11/7/2005,41
14/2/2006,41
27/1/2007,41
10/4/2007,41
7/4/2007,41
10/4/2013,41
9/4/2013,41
20/11/2013,41
6/4/2014,41
23/1/2015,41
7/2/2018,41
7/4/2019,41
31/1/2002,42
7/2/2003,42
17/1/2004,42
18/1/2004,42
23/7/2004,42
22/7/2004,42
28/7/2004,42
19/7/2004,42
20/7/2004,42
21/7/2004,42
7/1/2005,42
13/11/2005,42
15/2/2006,42
11/2/2006,42
10/2/2006,42
14/8/2010,42
8/8/2010,42
9/8/2010,42
31/7/2010,42
30/7/2010,42
1/8/2010,42
16/4/2013,42
17/4/2013,42
19/4/2013,42
18/4/2013,42
24/11/2013,42
21/11/2013,42
15/4/2015,42
12/4/2017,42
1/8/2017,42
7/4/2019,42
15/4/2000,43
17/11/2014,43
8/1/2016,43
19/11/2016,43
20/7/2003,44
27/3/2004,44
4/4/2004,44
5/4/2004,44
6/4/2004,44
16/7/2004,44
15/7/2004,44
18/11/2004,44
12/11/2004,44
10/11/2004,44
11/11/2004,44
30/4/2005,44
20/4/2005,44
19/4/2005,44
10/7/2005,44
17/7/2005,44
2/11/2006,44
3/11/2006,44
24/1/2007,44
8/4/2007,44
9/4/2007,44
6/4/2007,44
19/8/2008,44
3/8/2010,44
23/11/2014,44
24/11/2017,44
27/10/2018,44
16/4/2000,45
28/10/2000,45
30/10/2000,45
28/7/2003,45
29/7/2003,45
29/4/2005,45
21/4/2005,45
5/8/2010,45
4/8/2010,45
14/1/2013,45
19/7/2013,45
18/7/2013,45
16/7/2013,45
17/7/2013,45
15/7/2013,45
14/7/2013,45
13/7/2013,45
17/4/2019,45
26/3/2004,46
14/7/2004,46
9/11/2004,46
22/7/2016,46
7/2/2019,46
8/2/2019,46
1/2/2002,47
8/2/2002,47
9/2/2002,47
8/4/2002,47
8/2/2003,47
9/2/2003,47
6/4/2003,47
10/4/2003,47
19/4/2003,47
17/7/2003,47
18/7/2003,47
25/7/2003,47
26/7/2003,47
27/7/2003,47
26/10/2003,47
27/10/2003,47
28/10/2003,47
29/10/2003,47
30/10/2003,47
7/4/2004,47
8/11/2004,47
22/4/2005,47
25/4/2005,47
1/7/2005,47
14/3/2009,47
20/4/2011,47
31/10/2011,47
29/10/2011,47
26/3/2012,47
20/7/2013,47
10/2/2003,48
9/4/2003,48
20/4/2003,48
19/7/2003,48
6/11/2004,48
19/4/2005,48
2/8/2010,48
21/4/2011,48
3/4/2002,49
10/11/2002,49
22/11/2002,49
23/11/2002,49
24/11/2002,49
25/11/2002,49
30/1/2003,49
31/1/2003,49
1/2/2003,49
7/4/2003,49
8/4/2003,49
16/4/2003,49
16/4/2003,49
17/4/2003,49
18/4/2003,49
19/4/2003,49
24/3/2004,49
25/3/2004,49
28/3/2004,49
13/7/2004,49
16/1/2005,49
20/11/2005,49
24/4/2011,49
22/4/2011,49
17/4/2011,49
11/8/2011,49
27/3/2012,49
18/7/2012,49
16/7/2012,49
6/7/2014,49
17/11/2019,49
11/2/2003,50
11/4/2003,50
18/7/2004,50
3/7/2005,50
10/4/2006,50
11/4/2006,50
11/4/2006,50
25/1/2007,50
18/8/2008,50
13/4/2011,50
12/8/2011,50
13/7/2012,50
9/4/2016,50
20/4/2000,51
13/10/2000,51
15/7/2001,51
16/7/2001,51
3/4/2002,51
4/4/2002,51
4/4/2002,51
8/4/2002,51
9/4/2002,51
9/4/2002,51
5/7/2002,51
11/11/2002,51
12/11/2002,51
13/11/2002,51
14/11/2002,51
15/11/2002,51
2/2/2003,51
23/3/2004,51
29/3/2004,51
2/7/2005,51
19/11/2005,51
10/11/2005,51
