Date,PO4uM
0/0/0,0.000
4/2/2018,0.000
5/2/2018,0.000
9/2/2018,0.000
12/11/2017,0.020
2/2/2018,0.020
3/2/2018,0.020
10/2/2018,0.040
20/11/2017,0.040
24/1/2015,0.040
8/2/2018,0.050
13/11/2017,0.070
16/11/2017,0.080
19/11/2017,0.090
22/11/2017,0.090
18/11/2017,0.090
1/2/2018,0.100
25/1/2015,0.110
22/4/2018,0.110
11/11/2017,0.110
21/4/2018,0.110
9/11/2017,0.110
17/11/2017,0.120
8/11/2019,0.130
7/11/2019,0.130
8/8/2017,0.130
9/8/2017,0.130
10/6/2018,0.130
13/4/2019,0.130
13/7/2016,0.130
14/4/2019,0.130
8/4/2019,0.130
14/8/2017,0.130
25/7/2019,0.130
10/4/2019,0.130
7/8/2017,0.130
1/4/2008,0.140
19/10/2012,0.140
13/8/2017,0.140
10/8/2017,0.140
20/10/2012,0.140
12/6/2018,0.150
11/4/2018,0.150
17/1/2015,0.150
3/4/2019,0.150
1/4/2017,0.150
18/1/2015,0.150
2/4/2019,0.150
11/7/2015,0.150
15/1/2017,0.150
10/11/2016,0.150
14/1/2017,0.150
12/7/2016,0.150
12/11/2019,0.160
24/10/2012,0.160
6/8/2017,0.160
11/4/2018,0.160
9/11/2019,0.160
3/2/2012,0.160
11/11/2016,0.160
2/4/2012,0.160
12/1/2017,0.160
23/10/2012,0.160
12/1/2000,0.160
12/11/2016,0.170
4/4/2019,0.170
29/1/2008,0.170
10/4/2018,0.170
3/11/2015,0.170
16/1/2017,0.170
22/8/2008,0.170
9/6/2018,0.170
22/7/2015,0.170
19/6/2018,0.170
21/6/2018,0.170
9/7/2015,0.170
14/11/2016,0.170
13/1/2017,0.170
11/4/2019,0.170
20/6/2018,0.170
10/4/2018,0.170
15/1/2016,0.170
5/8/2017,0.170
21/11/2016,0.170
5/11/2019,0.170
4/4/2019,0.170
13/1/2016,0.170
24/6/2018,0.170
18/4/2018,0.170
17/4/2018,0.170
31/3/2017,0.170
17/1/2017,0.170
11/1/2017,0.170
3/4/2019,0.170
8/7/2015,0.170
21/8/2008,0.170
13/11/2016,0.170
11/1/2000,0.180
22/1/2015,0.190
9/1/2000,0.190
24/1/2008,0.190
12/7/2015,0.190
10/1/2000,0.190
15/11/2017,0.190
4/8/2017,0.190
15/6/2018,0.200
4/4/2014,0.200
25/10/2018,0.200
30/1/2012,0.200
14/6/2018,0.200
13/7/2019,0.200
12/1/2016,0.200
10/11/2015,0.200
8/4/2018,0.200
12/2/2006,0.200
18/6/2018,0.200
12/8/2017,0.200
26/10/2018,0.200
19/4/2015,0.200
9/4/2018,0.200
20/4/2018,0.200
10/11/2017,0.200
16/8/2017,0.200
11/7/2019,0.200
12/7/2019,0.200
14/6/2018,0.200
18/4/2015,0.210
16/4/2018,0.210
2/7/2000,0.210
19/4/2018,0.210
12/11/2015,0.210
8/7/2000,0.210
8/4/2018,0.210
30/10/2008,0.220
11/1/2016,0.220
8/4/2008,0.220
10/4/2015,0.220
8/4/2018,0.220
12/4/2015,0.220
17/10/2008,0.220
11/1/2009,0.220
8/4/2015,0.220
16/8/2008,0.220
15/4/2018,0.220
12/4/2018,0.220
19/1/2008,0.220
17/1/2009,0.220
6/4/2008,0.220
11/6/2018,0.220
9/4/2015,0.220
17/8/2008,0.220
14/1/2008,0.220
16/4/2018,0.220
19/7/2009,0.220
26/7/2009,0.220
2/2/2015,0.220
16/1/2013,0.230
15/4/2014,0.230
19/1/2013,0.230
20/7/2014,0.230
21/10/2012,0.230
31/1/2014,0.230
8/4/2019,0.230
21/1/2016,0.230
17/4/2015,0.230
18/1/2013,0.230
17/1/2013,0.230
16/4/2014,0.230
13/4/2014,0.230
24/1/2016,0.240
20/11/2016,0.240
30/10/2015,0.240
23/7/2019,0.240
7/1/2016,0.240
13/4/2017,0.240
9/4/2017,0.240
17/4/2017,0.240
4/4/2016,0.240
18/4/2017,0.240
26/7/2016,0.240
22/1/2016,0.240
20/7/2016,0.240
13/1/2000,0.240
15/4/2017,0.240
8/11/2015,0.240
16/4/2017,0.240
3/4/2016,0.240
12/7/2015,0.240
14/7/2019,0.240
10/2/2019,0.240
10/7/2001,0.240
23/1/2016,0.240
9/2/2019,0.250
29/10/2012,0.250
2/4/2016,0.250
13/4/2018,0.250
11/2/2019,0.250
24/7/2019,0.250
23/1/2008,0.250
30/10/2012,0.250
19/10/2008,0.250
23/1/2009,0.250
28/7/2009,0.250
29/10/2018,0.250
20/7/2009,0.250
23/7/2009,0.250
22/7/2009,0.250
26/7/2009,0.250
25/10/2008,0.250
31/10/2012,0.250
2/11/2012,0.250
